"ccaa" "prov" "sexo" "edad" "nacio" "educ" "situa" "rentah" "factorele" "provsex" "edad2" "edad3" "edad4" "edad5" "edu1" "edu2" "edu3" "nacio1" "situ1" "situ2" "situ3" "uchogar" "rentanorm" "pobre" "dom"
"49" 1 4 1 0 1 0 0 42298.634 1040.77214 41 0 0 0 0 0 0 0 1 0 0 0 3.6 11749.621 0 7
"50" 1 4 2 3 1 3 1 42298.634 1040.77214 42 0 1 0 0 0 0 1 1 1 0 0 3.6 11749.621 0 8
"51" 1 4 1 5 1 1 3 11600 1579.79464 41 0 0 0 1 1 0 0 1 0 0 1 1.5 7733.333 0 7
"52" 1 4 2 5 1 1 3 11600 1579.79464 42 0 0 0 1 1 0 0 1 0 0 1 1.5 7733.333 0 8
"53" 1 4 2 3 1 3 1 56348.628 350.77014 42 0 1 0 0 0 0 1 1 1 0 0 3.5 16099.608 0 8
"54" 1 4 2 4 1 2 3 56348.628 350.77014 42 0 0 1 0 0 1 0 1 0 0 1 3.5 16099.608 0 8
"55" 1 4 1 3 1 3 1 56348.628 350.77014 41 0 1 0 0 0 0 1 1 1 0 0 3.5 16099.608 0 7
"56" 1 4 1 3 1 3 3 56348.628 350.77014 41 0 1 0 0 0 0 1 1 0 0 1 3.5 16099.608 0 7
"57" 1 4 2 2 1 3 1 56348.628 350.77014 42 1 0 0 0 0 0 1 1 1 0 0 3.5 16099.608 0 8
"58" 1 4 1 4 1 2 3 56348.628 350.77014 41 0 0 1 0 0 1 0 1 0 0 1 3.5 16099.608 0 7
"59" 1 4 2 5 1 1 3 4900 1667.07506 42 0 0 0 1 1 0 0 1 0 0 1 1 4900 1 8
"60" 1 4 2 5 1 1 3 5592 1734.03535 42 0 0 0 1 1 0 0 1 0 0 1 1 5592 1 8
"61" 1 4 2 4 1 1 1 6180 1305.08196 42 0 0 1 0 1 0 0 1 1 0 0 2.3 2686.957 1 8
"62" 1 4 2 3 1 1 3 6180 1305.08196 42 0 1 0 0 1 0 0 1 0 0 1 2.3 2686.957 1 8
"63" 1 4 1 2 1 2 3 6180 1305.08196 41 1 0 0 0 0 1 0 1 0 0 1 2.3 2686.957 1 7
"64" 1 4 1 0 1 0 0 6180 1305.08196 41 0 0 0 0 0 0 0 1 0 0 0 2.3 2686.957 1 7
"65" 1 4 2 3 1 2 1 11050 1313.31049 42 0 1 0 0 0 1 0 1 1 0 0 1.8 6138.889 1 8
"66" 1 4 1 4 1 2 1 11050 1313.31049 41 0 0 1 0 0 1 0 1 1 0 0 1.8 6138.889 1 7
"67" 1 4 2 0 1 0 0 11050 1313.31049 42 0 0 0 0 0 0 0 1 0 0 0 1.8 6138.889 1 8
"68" 1 4 1 5 1 1 3 3499.2 1530.48408 41 0 0 0 1 1 0 0 1 0 0 1 1 3499.2 1 7
"69" 1 4 1 4 1 1 1 19598 1233.60527 41 0 0 1 0 1 0 0 1 1 0 0 1.5 13065.333 0 7
"70" 1 4 2 4 1 1 1 19598 1233.60527 42 0 0 1 0 1 0 0 1 1 0 0 1.5 13065.333 0 8
